Event Name,Opening,Individual Dates and Times,Show Notes,Total Events,Piano Tuning?,Series,Venue,Staff,After Today,Within Next Quarter,Within Next Month,Parsed Date,Parsed Time,Status
Broadway Camp Showz! (2026),6/22/2026,"Tuesday, June 23, 2026 at 8:30am–2:30pm",,6,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,06/23/2026,8:30 AM,Success
Broadway Camp Showz! (2026),6/22/2026,"Wednesday, June 24, 2026 at 8:30am–2:30pm",,6,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,06/24/2026,8:30 AM,Success
Broadway Camp Showz! (2026),6/22/2026,"Thursday, June 25, 2026 at 8:30am–2:30pm",,6,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,06/25/2026,8:30 AM,Success
Broadway Camp Showz! (2026),6/22/2026,"Friday, June 26, 2026 at 8:30am–4:00pm",,6,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,06/26/2026,8:30 AM,Success
Broadway Camp Showz! (2026),6/22/2026,"Friday, June 26, 2026 at 4:00pm",,6,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,06/26/2026,4:00 PM,Success
RYOT: Gilbert and Sullivan's H. M. S. Pinafore,6/27/2026,"Saturday, June 27, 2026 at 2:00pm",,4,TRUE,Education,Theatre 166,,FALSE,TRUE,TRUE,06/27/2026,2:00 PM,Success
RYOT: Gilbert and Sullivan's H. M. S. Pinafore,6/27/2026,"Saturday, June 27, 2026 at 7:00pm",,4,TRUE,Education,Theatre 166,,FALSE,TRUE,TRUE,06/27/2026,7:00 PM,Success
RYOT: Gilbert and Sullivan's H. M. S. Pinafore,6/27/2026,"Sunday, June 28, 2026 at 1:00pm",,4,TRUE,Education,Theatre 166,,FALSE,TRUE,TRUE,06/28/2026,1:00 PM,Success
RYOT: Gilbert and Sullivan's H. M. S. Pinafore,6/27/2026,"Sunday, June 28, 2026 at 4:00pm",,4,TRUE,Education,Theatre 166,,FALSE,TRUE,TRUE,06/28/2026,4:00 PM,Success
RYOT: Workshop (Classes),1/6/2026,"Tuesday, January 6, 2026",RYOT Showcase Feb 2026,TBD,TRUE,Education,Theatre 166,,TRUE,FALSE,FALSE,Manual Fix,Manual Fix,Check
RYOT: Workshop (Classes),1/6/2026,"through Thursday, February 5, 2026",RYOT Showcase Feb 2026,TBD,TRUE,Education,Theatre 166,,TRUE,FALSE,FALSE,Manual Fix,Manual Fix,Check
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
,,,,,FALSE,,,,FALSE,TRUE,TRUE,,,
